fileid,prediction
melspec_0.npy,['Speech']
melspec_1.npy,['Speech']
melspec_10.npy,['Speech']
melspec_100.npy,['Speech']
melspec_1000.npy,['Speech']
melspec_1001.npy,['Speech']
melspec_1002.npy,"['Blender, Speech']"
melspec_1003.npy,['Speech']
melspec_1004.npy,['Speech']
melspec_1005.npy,['Speech']
melspec_1006.npy,['Speech']
melspec_1007.npy,['Speech']
melspec_1008.npy,"['Blender, Speech']"
melspec_1009.npy,['Speech']
melspec_101.npy,['Speech']
melspec_1010.npy,"['Cat, Speech']"
melspec_1011.npy,['Silence']
melspec_1012.npy,['Blender']
melspec_1013.npy,['Speech']
melspec_1014.npy,['Speech']
melspec_1015.npy,['Speech']
melspec_1016.npy,['Speech']
melspec_1017.npy,['Speech']
melspec_1018.npy,['Speech']
melspec_1019.npy,['Speech']
melspec_102.npy,['Speech']
melspec_1020.npy,"['Blender, Speech']"
melspec_1021.npy,['Speech']
melspec_1022.npy,['Speech']
melspec_1023.npy,"['Dog, Speech']"
melspec_1024.npy,['Speech']
melspec_1025.npy,['Speech']
melspec_1026.npy,['Silence']
melspec_1027.npy,['Speech']
melspec_1028.npy,['Speech']
melspec_1029.npy,['Speech']
melspec_103.npy,['Speech']
melspec_1030.npy,['Silence']
melspec_1031.npy,['Speech']
melspec_1032.npy,['Speech']
melspec_1033.npy,['Speech']
melspec_1034.npy,['Speech']
melspec_1035.npy,"['Blender, Speech']"
melspec_1036.npy,['Speech']
melspec_1037.npy,"['Blender, Speech']"
melspec_1038.npy,['Blender']
melspec_1039.npy,['Speech']
melspec_104.npy,['Silence']
melspec_1040.npy,['Speech']
melspec_1041.npy,['Speech']
melspec_1042.npy,['Silence']
melspec_1043.npy,['Speech']
melspec_1044.npy,['Speech']
melspec_1045.npy,['Speech']
melspec_1046.npy,['Speech']
melspec_1047.npy,['Silence']
melspec_1048.npy,"['Blender, Speech']"
melspec_1049.npy,"['Cat, Speech']"
melspec_105.npy,['Speech']
melspec_1050.npy,['Silence']
melspec_1051.npy,['Silence']
melspec_1052.npy,['Speech']
melspec_1053.npy,['Silence']
melspec_1054.npy,['Silence']
melspec_1055.npy,['Speech']
melspec_1056.npy,['Speech']
melspec_1057.npy,"['Blender, Speech']"
melspec_1058.npy,['Speech']
melspec_1059.npy,['Speech']
melspec_106.npy,['Silence']
melspec_1060.npy,"['Blender, Speech']"
melspec_1061.npy,['Speech']
melspec_1062.npy,['Speech']
melspec_1063.npy,['Speech']
melspec_1064.npy,['Speech']
melspec_1065.npy,['Speech']
melspec_1066.npy,['Speech']
melspec_1067.npy,['Speech']
melspec_1068.npy,['Speech']
melspec_1069.npy,['Speech']
melspec_107.npy,['Speech']
melspec_1070.npy,['Speech']
melspec_1071.npy,['Silence']
melspec_1072.npy,['Silence']
melspec_1073.npy,['Speech']
melspec_1074.npy,['Speech']
melspec_1075.npy,['Speech']
melspec_1076.npy,['Silence']
melspec_1077.npy,"['Blender, Speech']"
melspec_1078.npy,['Speech']
melspec_1079.npy,['Speech']
melspec_108.npy,"['Cat, Speech']"
melspec_1080.npy,['Speech']
melspec_1081.npy,['Speech']
melspec_1082.npy,['Speech']
melspec_1083.npy,['Speech']
melspec_1084.npy,['Speech']
melspec_1085.npy,['Speech']
melspec_1086.npy,['Speech']
melspec_1087.npy,['Speech']
melspec_1088.npy,['Speech']
melspec_1089.npy,['Speech']
melspec_109.npy,['Speech']
melspec_1090.npy,['Speech']
melspec_1091.npy,['Silence']
melspec_1092.npy,['Speech']
melspec_1093.npy,['Speech']
melspec_1094.npy,['Speech']
melspec_1095.npy,['Speech']
melspec_1096.npy,['Speech']
melspec_1097.npy,['Speech']
melspec_1098.npy,['Speech']
melspec_1099.npy,"['Cat, Speech']"
melspec_11.npy,['Speech']
melspec_110.npy,['Speech']
melspec_1100.npy,['Speech']
melspec_1101.npy,['Speech']
melspec_1102.npy,['Silence']
melspec_1103.npy,['Speech']
melspec_1104.npy,['Speech']
melspec_1105.npy,['Speech']
melspec_1106.npy,['Speech']
melspec_1107.npy,['Silence']
melspec_1108.npy,"['Blender, Cat, Speech']"
melspec_1109.npy,['Speech']
melspec_111.npy,['Speech']
melspec_1110.npy,['Speech']
melspec_1111.npy,['Speech']
melspec_1112.npy,['Speech']
melspec_1113.npy,['Speech']
melspec_1114.npy,['Speech']
melspec_1115.npy,['Speech']
melspec_1116.npy,['Speech']
melspec_1117.npy,['Speech']
melspec_1118.npy,['Speech']
melspec_1119.npy,['Silence']
melspec_112.npy,['Speech']
melspec_1120.npy,['Speech']
melspec_1121.npy,['Speech']
melspec_1122.npy,['Speech']
melspec_1123.npy,['Silence']
melspec_1124.npy,['Speech']
melspec_1125.npy,['Speech']
melspec_1126.npy,"['Blender, Speech']"
melspec_1127.npy,['Speech']
melspec_1128.npy,['Speech']
melspec_1129.npy,['Speech']
melspec_113.npy,"['Dog, Speech']"
melspec_1130.npy,['Speech']
melspec_1131.npy,"['Blender, Cat, Speech']"
melspec_1132.npy,['Speech']
melspec_1133.npy,"['Blender, Speech']"
melspec_1134.npy,['Speech']
melspec_1135.npy,"['Cat, Speech']"
melspec_1136.npy,['Speech']
melspec_1137.npy,['Speech']
melspec_1138.npy,['Speech']
melspec_1139.npy,['Speech']
melspec_114.npy,['Speech']
melspec_1140.npy,"['Dog, Speech']"
melspec_1141.npy,"['Blender, Speech']"
melspec_1142.npy,['Speech']
melspec_1143.npy,['Speech']
melspec_1144.npy,['Speech']
melspec_1145.npy,['Speech']
melspec_1146.npy,['Speech']
melspec_1147.npy,['Speech']
melspec_1148.npy,['Speech']
melspec_1149.npy,['Silence']
melspec_115.npy,['Speech']
melspec_1150.npy,['Speech']
melspec_1151.npy,['Speech']
melspec_1152.npy,"['Blender, Speech']"
melspec_1153.npy,"['Blender, Speech']"
melspec_1154.npy,['Silence']
melspec_1155.npy,['Speech']
melspec_1156.npy,['Speech']
melspec_1157.npy,['Silence']
melspec_1158.npy,['Speech']
melspec_1159.npy,['Speech']
melspec_116.npy,['Silence']
melspec_1160.npy,['Speech']
melspec_1161.npy,['Speech']
melspec_1162.npy,"['Blender, Speech']"
melspec_1163.npy,['Speech']
melspec_1164.npy,['Speech']
melspec_1165.npy,['Speech']
melspec_1166.npy,['Speech']
melspec_1167.npy,['Speech']
melspec_1168.npy,['Speech']
melspec_1169.npy,['Silence']
melspec_117.npy,['Speech']
melspec_1170.npy,['Speech']
melspec_1171.npy,['Silence']
melspec_1172.npy,['Speech']
melspec_1173.npy,['Speech']
melspec_1174.npy,['Speech']
melspec_1175.npy,['Silence']
melspec_1176.npy,['Speech']
melspec_1177.npy,"['Blender, Speech']"
melspec_1178.npy,"['Blender, Speech']"
melspec_1179.npy,['Speech']
melspec_118.npy,['Speech']
melspec_1180.npy,['Speech']
melspec_1181.npy,['Speech']
melspec_1182.npy,['Speech']
melspec_1183.npy,"['Blender, Speech']"
melspec_1184.npy,['Speech']
melspec_1185.npy,['Speech']
melspec_1186.npy,['Silence']
melspec_1187.npy,['Speech']
melspec_1188.npy,['Silence']
melspec_1189.npy,['Speech']
melspec_119.npy,['Speech']
melspec_1190.npy,['Silence']
melspec_1191.npy,['Speech']
melspec_1192.npy,['Speech']
melspec_1193.npy,['Speech']
melspec_1194.npy,['Speech']
melspec_1195.npy,"['Blender, Speech']"
melspec_1196.npy,['Speech']
melspec_1197.npy,['Speech']
melspec_1198.npy,['Speech']
melspec_1199.npy,['Speech']
melspec_12.npy,['Speech']
melspec_120.npy,['Silence']
melspec_1200.npy,['Silence']
melspec_1201.npy,['Speech']
